ǰargā,ǰargā<n>,ǰargā<n>/ǰargā<n>,CORRECT
nêδet,nêδ<v>><prs><2pl>,nêð<v><prs>><2pl>/nêδ<v><prs>><2pl>,FAIL
dis-ga,dis<pro>><add1>,dis<pro>><add>,FAIL
fukaθ-en,fukaθ<n>><3pl>,fuk<pro>><int>><3pl>/fukaθ<pro>><3pl>/fukaϑ<pro>><3pl>,FAIL
nêδd,nêδ<v>><pst>,nêðd<v><inf>/nêδd<v><inf>/nêðd<v><pst>/nêδd<v><pst>,FAIL
atā,atā<cnj><advs>,atā<conj><advs>,FAIL
wev,wev<dem><d3><pl><obl>,wev<dem><d3><pl><obl>,CORRECT
garδā,garδā<n>,garðā<n>/garδā<n>,CORRECT
at,at<cnj><coord2>,at<conj><coord2>,FAIL
δiyůn,δiyůn<num>,ðiyůn<n>/δiyůn<n>,FAIL
moyi,moyi<n>,mo<n>><3sg>/mo<pro>><3sg>/moyi<n>,CORRECT
xu,xu<cnj><coord1>,xu<conj><coord1>/xu<pro><refl>,FAIL
δust,δust<n>,ðust<adj>/δust<adj>/ðust<n>/δust<n>,CORRECT
zox̌t,zox̌<v>><pst>,zox̌t<v><pst>,FAIL
xu,xu<cnj><coord1>,xu<conj><coord1>/xu<pro><refl>,FAIL
xu,xu<pro><refl>,xu<conj><coord1>/xu<pro><refl>,CORRECT
pīc-i,pīc<n>><3sg>,pīc<n>><3sg>,CORRECT
pi,pi<prep><up>,pi<prep>/pi<v><prs>,FAIL
osmůn,osmůn<n>,osmůn<n>,CORRECT
čūd,čū<v>><pst>,čūd<v><pst>,FAIL
xu,xu<cnj><coord1>,xu<conj><coord1>/xu<pro><refl>,FAIL
duo-yi,duo<n>><3sg>,duo<n>><3sg>,CORRECT
čūd,čū<v>><pst>,čūd<v><pst>,FAIL
xu,xu<cnj><coord1>,xu<conj><coord1>/xu<pro><refl>,FAIL
wev,wev<dem><d3><pl><obl>,wev<dem><d3><pl><obl>,CORRECT
at,at<cnj><coord2>,at<conj><coord2>,FAIL
kānd,kānd<n>,kā<pro>><loc>/kānd<n>,CORRECT
čūd,čū<v>><pst>,čūd<v><pst>,FAIL
xu,xu<cnj><coord1>,xu<conj><coord1>/xu<pro><refl>,FAIL
mardum-ard,mardum<n>><dat>,mardum<n>><dat>,CORRECT
bāx̌,bāx̌<n>,bāx̌<n>,CORRECT
kinen,kin<v>><prs><3pl>,kin<v><imp>><3pl>/kin<v><prs>><3pl>,FAIL
yik-u,yik<dem><emph>><d3><m><sg>,yik<n>><coord3>,FAIL
důnd,důnd<pro>,důnd<pro>,CORRECT
mardum,mardum<n>,mard<adj>><1sg>/mard<n>><1sg>/mardum<n>,CORRECT
fukaθ-i,fukaθ<pro>><3sg>,fuk<pro>><int>><3sg>/fukaθ<pro>><3sg>/fukaϑ<pro>><3sg>,CORRECT
xūd,xū<v>><pst>,xūd<v><pst>,FAIL
at,at<cnj><coord2>,at<conj><coord2>,FAIL
ser,ser<n>,ser<adj>,FAIL
sut,su<v><m>><pst>,sut<v><pst>,FAIL
atā,atā<cnj><advs>,atā<conj><advs>,FAIL
vo,vo<prt>,vo<adj>,FAIL
duwozdā,duwozdā<num>,duwozdā<num>,CORRECT
toθč-and-ga,toθč<n>><loc>><add1>,toθč-and<adj>><add>/toϑč-and<adj>><add>/toθč<n>><loc>><add>/toϑč<n>><loc>><add>,FAIL
yu,yu<dem><d3><m><sg>,yu<dem><d3><m><sg><nom>,FAIL
awqot,awqot<n>,awqot<n>,CORRECT
bex̌,bex̌<n>,bex̌<n>,CORRECT
δod,δo<v>><pst>,ðod<v><pst>/δod<v><pst>,FAIL
